x,y,h,rho
-0.5,-0.5,0.2,1
-0.4,-0.5,0.2,1
-0.3,-0.5,0.2,1
-0.19999999999999996,-0.5,0.2,1
-0.09999999999999998,-0.5,0.2,1
0,-0.5,0.2,1
0.10000000000000009,-0.5,0.2,1
0.20000000000000007,-0.5,0.2,1
0.30000000000000004,-0.5,0.2,1
0.4,-0.5,0.2,1
-0.5,-0.4,0.2,1
-0.4,-0.4,0.2,1
-0.3,-0.4,0.2,1
-0.19999999999999996,-0.4,0.2,1
-0.09999999999999998,-0.4,0.2,1
0,-0.4,0.2,1
0.10000000000000009,-0.4,0.2,1
0.20000000000000007,-0.4,0.2,1
0.30000000000000004,-0.4,0.2,1
0.4,-0.4,0.2,1
-0.5,-0.3,0.2,1
-0.4,-0.3,0.2,1
-0.3,-0.3,0.2,1
-0.19999999999999996,-0.3,0.2,1
-0.09999999999999998,-0.3,0.2,1
0,-0.3,0.2,1
0.10000000000000009,-0.3,0.2,1
0.20000000000000007,-0.3,0.2,1
0.30000000000000004,-0.3,0.2,1
0.4,-0.3,0.2,1
-0.5,-0.19999999999999996,0.2,1
-0.4,-0.19999999999999996,0.2,1
-0.3,-0.19999999999999996,0.2,1
-0.19999999999999996,-0.19999999999999996,0.2,1
-0.09999999999999998,-0.19999999999999996,0.2,1
0,-0.19999999999999996,0.2,1
0.10000000000000009,-0.19999999999999996,0.2,1
0.20000000000000007,-0.19999999999999996,0.2,1
0.30000000000000004,-0.19999999999999996,0.2,1
0.4,-0.19999999999999996,0.2,1
-0.5,-0.09999999999999998,0.2,1
-0.4,-0.09999999999999998,0.2,1
-0.3,-0.09999999999999998,0.2,1
-0.19999999999999996,-0.09999999999999998,0.2,1
-0.09999999999999998,-0.09999999999999998,0.2,1
0,-0.09999999999999998,0.2,1
0.10000000000000009,-0.09999999999999998,0.2,1
0.20000000000000007,-0.09999999999999998,0.2,1
0.30000000000000004,-0.09999999999999998,0.2,1
0.4,-0.09999999999999998,0.2,1
-0.5,0,0.2,1
-0.4,0,0.2,1
-0.3,0,0.2,1
-0.19999999999999996,0,0.2,1
-0.09999999999999998,0,0.2,1
0,0,0.2,1
0.10000000000000009,0,0.2,1
0.20000000000000007,0,0.2,1
0.30000000000000004,0,0.2,1
0.4,0,0.2,1
-0.5,0.10000000000000009,0.2,1
-0.4,0.10000000000000009,0.2,1
-0.3,0.10000000000000009,0.2,1
-0.19999999999999996,0.10000000000000009,0.2,1
-0.09999999999999998,0.10000000000000009,0.2,1
0,0.10000000000000009,0.2,1
0.10000000000000009,0.10000000000000009,0.2,1
0.20000000000000007,0.10000000000000009,0.2,1
0.30000000000000004,0.10000000000000009,0.2,1
0.4,0.10000000000000009,0.2,1
-0.5,0.20000000000000007,0.2,1
-0.4,0.20000000000000007,0.2,1
-0.3,0.20000000000000007,0.2,1
-0.19999999999999996,0.20000000000000007,0.2,1
-0.09999999999999998,0.20000000000000007,0.2,1
0,0.20000000000000007,0.2,1
0.10000000000000009,0.20000000000000007,0.2,1
0.20000000000000007,0.20000000000000007,0.2,1
0.30000000000000004,0.20000000000000007,0.2,1
0.4,0.20000000000000007,0.2,1
-0.5,0.30000000000000004,0.2,1
-0.4,0.30000000000000004,0.2,1
-0.3,0.30000000000000004,0.2,1
-0.19999999999999996,0.30000000000000004,0.2,1
-0.09999999999999998,0.30000000000000004,0.2,1
0,0.30000000000000004,0.2,1
0.10000000000000009,0.30000000000000004,0.2,1
0.20000000000000007,0.30000000000000004,0.2,1
0.30000000000000004,0.30000000000000004,0.2,1
0.4,0.30000000000000004,0.2,1
-0.5,0.4,0.2,1
-0.4,0.4,0.2,1
-0.3,0.4,0.2,1
-0.19999999999999996,0.4,0.2,1
-0.09999999999999998,0.4,0.2,1
0,0.4,0.2,1
0.10000000000000009,0.4,0.2,1
0.20000000000000007,0.4,0.2,1
0.30000000000000004,0.4,0.2,1
0.4,0.4,0.2,1
